Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2014-01-02,6759.37,6717.91,6707.48,6749.09,459529089.0
2014-01-03,6747.33,6730.67,6699.27,6717.91,374841419.0
2014-01-06,6751.98,6730.73,6714.64,6730.67,524386927.0
2014-01-07,6768.89,6755.45,6718.07,6730.73,672375580.0
2014-01-08,6755.53,6721.78,6713.39,6755.45,720025203.0
2014-01-09,6746.41,6691.34,6679.31,6721.78,782896456.0
2014-01-10,6769.94,6739.94,6691.34,6691.34,811611783.0
2014-01-13,6765.6,6757.15,6730.97,6739.94,598026809.0
2014-01-14,6772.63,6766.86,6694.08,6757.15,568346517.0
2014-01-15,6825.2,6819.86,6766.86,6766.86,693715768.0
2014-01-16,6831.74,6815.42,6811.16,6819.86,714152682.0
2014-01-17,6840.5,6829.3,6800.0,6815.42,999744550.0
2014-01-20,6837.53,6836.73,6810.62,6829.3,424810613.0
2014-01-21,6867.42,6834.26,6822.31,6836.73,618281387.0
2014-01-22,6864.87,6826.33,6821.8,6834.26,548735637.0
2014-01-23,6837.21,6773.28,6760.63,6826.33,668664224.0
2014-01-24,6784.42,6663.74,6654.86,6773.28,844748184.0
2014-01-27,6665.39,6550.66,6539.33,6663.74,985294521.0
2014-01-28,6590.66,6572.33,6550.65,6550.66,675704316.0
2014-01-29,6645.23,6544.28,6482.74,6572.33,990211387.0
2014-01-30,6573.92,6538.45,6503.25,6544.28,755894202.0
2014-01-31,6548.46,6510.44,6421.26,6538.45,751204931.0
2014-02-03,6538.3,6465.66,6459.95,6510.44,829888623.0
2014-02-04,6478.16,6449.27,6416.72,6465.66,922887696.0
2014-02-05,6483.73,6457.89,6423.79,6449.27,810173781.0
2014-02-06,6566.01,6558.28,6457.89,6457.89,815148825.0
2014-02-07,6596.28,6571.68,6540.81,6558.28,708467773.0
2014-02-10,6597.0,6591.55,6565.3,6571.68,593694848.0
2014-02-11,6672.66,6672.66,6591.55,6591.55,934913259.0
2014-02-12,6708.17,6675.03,6669.06,6672.66,820071926.0
2014-02-13,6675.24,6659.42,6608.09,6675.03,1170917646.0
2014-02-14,6672.21,6663.62,6646.47,6659.42,912784646.0
2014-02-17,6745.63,6736.0,6661.47,6663.62,630247542.0
2014-02-18,6802.89,6796.43,6716.64,6736.0,826630045.0
2014-02-19,6810.48,6796.71,6759.86,6796.43,793947053.0
2014-02-20,6812.99,6812.99,6732.03,6796.71,742458367.0
2014-02-21,6859.91,6838.06,6812.99,6812.99,1023532498.0
2014-02-24,6865.86,6865.86,6797.83,6838.06,1066142448.0
2014-02-25,6866.35,6830.5,6790.93,6862.73,1162334085.0
2014-02-26,6834.09,6799.15,6785.28,6830.5,739000571.0
2014-02-27,6819.24,6810.27,6733.54,6799.15,845695040.0
2014-02-28,6833.82,6809.7,6785.54,6810.27,924578396.0
2014-03-03,6809.7,6708.35,6671.89,6809.7,829082578.0
2014-03-04,6827.22,6823.77,6708.35,6708.35,734136333.0
